"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
HHS Regions,Region 10,2016,16,164,36,20,1,20,1,6,0,0
HHS Regions,Region 1,2016,17,93,20,13,0,11,3,3,0,0
HHS Regions,Region 2,2016,17,106,11,17,0,9,7,15,0,0
HHS Regions,Region 3,2016,17,228,26,4,0,21,24,22,0,0
HHS Regions,Region 4,2016,17,145,18,6,2,15,8,5,0,0
HHS Regions,Region 5,2016,17,231,20,13,0,1,16,14,0,0
HHS Regions,Region 6,2016,17,127,4,9,0,8,1,10,0,0
HHS Regions,Region 7,2016,17,32,6,1,1,0,3,3,0,0
HHS Regions,Region 8,2016,17,74,11,6,0,2,4,17,0,0
HHS Regions,Region 9,2016,17,287,26,20,2,9,10,26,0,0
HHS Regions,Region 10,2016,17,168,25,9,0,18,2,4,0,0
HHS Regions,Region 1,2016,18,42,8,10,0,5,1,5,0,0
HHS Regions,Region 2,2016,18,81,1,5,1,19,13,2,0,0
HHS Regions,Region 3,2016,18,178,11,6,0,6,14,22,0,0
HHS Regions,Region 4,2016,18,129,10,9,0,16,3,6,0,0
HHS Regions,Region 5,2016,18,197,5,6,1,1,5,10,0,0
HHS Regions,Region 6,2016,18,96,0,4,0,5,1,7,0,0
HHS Regions,Region 7,2016,18,22,5,0,0,0,2,1,0,0
HHS Regions,Region 8,2016,18,57,6,6,0,2,3,10,0,0
HHS Regions,Region 9,2016,18,213,16,11,0,8,9,17,0,0
HHS Regions,Region 10,2016,18,110,15,2,0,18,2,2,0,0
HHS Regions,Region 1,2016,19,17,2,3,0,2,0,1,0,0
HHS Regions,Region 2,2016,19,55,3,2,0,8,2,7,0,0
HHS Regions,Region 3,2016,19,141,3,0,0,8,16,9,0,0
HHS Regions,Region 4,2016,19,136,9,29,2,9,2,3,0,0
HHS Regions,Region 5,2016,19,161,4,6,0,0,9,6,0,0
HHS Regions,Region 6,2016,19,92,2,2,0,8,1,5,0,0
HHS Regions,Region 7,2016,19,19,4,3,0,0,0,3,0,0
HHS Regions,Region 8,2016,19,46,3,6,0,0,1,11,0,0
HHS Regions,Region 9,2016,19,236,17,7,0,9,4,26,0,0
